Publisher,Number of journal (English-only),Target journal
ELSEVIER,1147,MICROELECTRONICS RELIABILITY
SPRINGER,1019,EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY
WILEY,899,GENESIS
TAYLOR & FRANCIS,585,APPLIED ARTIFICIAL INTELLIGENCE
SAGE,248,NURSING SCIENCE QUARTERLY
LIPPINCOTT WILLIAMS & WILKINS,206,AMERICAN JOURNAL OF SURGICAL PATHOLOGY
OXFORD UNIV PRESS,204,QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS
BMC,202,ALZHEIMERS RESEARCH & THERAPY
IEEE,162,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY
CAMBRIDGE UNIV PRESS,98,ANZIAM JOURNAL
