"Rule ID","Description","Help","Help URL","Impact","Manual","Needs Review","IGT","Selector","Summary","Source Code","Tags","Found By","Test Title","Test URL","Share URL","Created At"
"aria-command-name","Ensures every ARIA button, link and menuitem has an accessible name","ARIA commands must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/aria-command-name?application=AxeChrome","serious","No","No","","[""#content"","".custom-combobox-toggle""]","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute","<a tabindex=""-1"" class=""ui-button ui-widget ui-state-default ui-button-icon-only custom-combobox-toggle ui-button-icon ui-combobox-button"" role=""button"" title=""""><span class=""ui-button-icon-primary ui-icon ui-icon-triangle-1-s""></span><span class=""ui-button-text""></span></a>","cat.aria,wcag2a,wcag412","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"duplicate-id-active","Ensures every id attribute value of active elements is unique","IDs of active elements must be unique","https://dequeuniversity.com/rules/axe/4.3/duplicate-id-active?application=AxeChrome","serious","No","No","","[""#content"",""select[size=\""\\35 \""]""]","Fix any of the following:
  Document has active elements with the same id attribute: Department","<select id=""Department"" class=""custom-combobox-input req"" size=""5"" name=""Department"" style=""display: none;""><option value="""" selected=""selected""></option></select>","cat.parsing,wcag2a,wcag411","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#menuPage""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame noresize="""" name=""menuPage"" id=""menuPage"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" src=""Menu.aspx"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#ident""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame id=""ident"" name=""ident"" noresize="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" src=""Identification.aspx"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#implMessage""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame name=""implMessage"" id=""implMessage"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" noresize="""" scrolling=""no"" style=""display: none;"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#proxy""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame name=""proxy"" id=""proxy"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" noresize="""" scrolling=""no"" style=""display: none;"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#content""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame name=""content"" id=""content"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" onload=""updateCurrentSessionThreadId();"" src=""login.asp?loginError=1&amp;username=smithchoi"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#tz""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame name=""tz"" id=""tz"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" noresize="""" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" style=""display: none;"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"frame-title","Ensures <iframe> and <frame> elements have an accessible name","Frames must have an accessible name","https://dequeuniversity.com/rules/axe/4.3/frame-title?application=AxeChrome","serious","No","No","","[""#tc""]","Fix any of the following:
  Element has no title attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<frame name=""tc"" id=""tc"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" noresize="""" border=""0"" margin=""0"" framespacing=""0"" framepadding=""0"" style=""display: none;"">","cat.text-alternatives,wcag2a,wcag241,wcag412,section508,section508.22.i","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"html-has-lang","Ensures every HTML document has a lang attribute","<html> element must have a lang attribute","https://dequeuniversity.com/rules/axe/4.3/html-has-lang?application=AxeChrome","serious","No","No","","[""html""]","Fix any of the following:
  The <html> element does not have a lang attribute","<html>","cat.language,wcag2a,wcag311,ACT","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
"input-button-name","Ensures input buttons have discernible text","Input buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.3/input-button-name?application=AxeChrome","critical","No","No","","[""#content"",""#orcidFetch""]","Fix any of the following:
  Element has a value attribute and the value attribute is empty
  Element has no value attribute
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<input type=""button"" name=""orcidFetch"" id=""orcidFetch"" class=""orcidBox"" onclick=""javascript:openCenterWin('./DotNetPopUps/OrcidPopUp.aspx?validate=1', 'OrcidVerification', 1, 1, 0, 0, 0, 0);"">","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a","smithchoi0123@gmail.com",,"https://www.editorialmanager.com/ejot/default1.aspx?pg=login.asp%3floginError%3d1%26username%3dsmithchoi","","2021-12-06T15:12:27.778Z"
